Zip Code,Lat,Long
90001,33.973616,-118.24902
90002,33.949255,-118.246978
90003,33.964131,-118.272783
90004,34.076259,-118.310715
90005,34.059281,-118.30742
90006,34.048013,-118.293953
90007,34.027337,-118.28515
90008,34.008293,-118.346766
90011,34.00709,-118.258681
90012,34.065875,-118.238728
90013,34.044639,-118.240413
90014,34.043144,-118.251977
90015,34.039224,-118.266293
90016,34.028331,-118.354338
90017,34.052842,-118.264495
90018,34.028735,-118.317236
90019,34.049841,-118.33846
90020,34.066367,-118.309868
90021,34.029043,-118.239504
90022,34.02381,-118.156582
90023,34.017697,-118.200577
90024,34.066303,-118.435479
90025,34.046174,-118.446333
90026,34.078991,-118.263804
90027,34.127194,-118.295647
90028,34.099869,-118.326843
90029,34.089953,-118.294824
90031,34.085807,-118.206617
90032,34.078821,-118.177576
90033,34.050198,-118.210946
90034,34.030578,-118.399613
90035,34.051809,-118.383843
90036,34.070291,-118.349191
90037,34.002642,-118.287596
90038,34.088017,-118.327168
90039,34.110845,-118.259595
90040,33.994524,-118.149953
90041,34.137412,-118.207607
90042,34.11572,-118.192754
90043,33.988543,-118.334081
90044,33.952714,-118.292061
90045,33.954017,-118.402447
90046,34.108455,-118.362081
90047,33.958149,-118.308441
90048,34.072945,-118.37267
90049,34.091829,-118.491244
90056,33.987945,-118.370442
90057,34.061918,-118.277939
90058,34.001617,-118.222274
90059,33.927254,-118.249826
90061,33.92128,-118.274186
90062,34.003553,-118.308933
90063,34.044271,-118.185237
90064,34.037251,-118.423573
90065,34.108833,-118.229715
90066,34.002028,-118.430656
90067,34.057496,-118.413959
90068,34.137411,-118.328915
90069,34.093781,-118.381061
90071,34.052917,-118.255178
90073,33.7866,-118.2987
90077,34.102084,-118.451629
90089,33.7866,-118.2987
90094,33.9728,-118.4276
90095,33.7866,-118.2987
90201,33.970343,-118.171368
90210,34.099891,-118.414338
90211,34.063947,-118.383001
90212,34.062095,-118.401508
90220,33.88151,-118.234451
90221,33.885811,-118.206459
90222,33.912246,-118.236773
90230,33.993991,-118.39704
90232,34.019323,-118.391902
90240,33.956228,-118.120993
90241,33.940884,-118.128628
90242,33.921793,-118.140588
90245,33.917145,-118.401554
90247,33.890853,-118.297967
90248,33.876482,-118.284077
90249,33.90139,-118.315697
90250,33.914775,-118.348083
90254,33.86532,-118.396336
90255,33.97803,-118.217141
90260,33.88856,-118.351813
90262,33.923573,-118.200669
90263,34.037037,-118.705803
90265,34.074572,-118.831181
90266,33.889632,-118.39737
90270,33.988572,-118.186565
90272,34.079449,-118.548306
90274,33.788208,-118.404955
90275,33.753146,-118.367459
90277,33.830453,-118.384565
90278,33.873395,-118.37019
90280,33.944624,-118.192615
90290,34.115192,-118.61017
90291,33.991782,-118.479229
90292,33.977468,-118.445475
90293,33.947305,-118.439841
90301,33.956445,-118.358634
90302,33.975332,-118.355252
90303,33.936291,-118.332639
90304,33.936827,-118.359824
90305,33.958134,-118.330905
90401,34.015481,-118.493231
90402,34.035849,-118.503508
90403,34.031529,-118.491156
90404,34.026334,-118.474222
90405,34.005439,-118.477507
90501,33.833699,-118.314387
90502,33.833181,-118.292062
90503,33.840399,-118.353714
90504,33.867257,-118.330794
90505,33.807882,-118.347957
90506,33.7866,-118.2987
90601,34.007353,-118.033683
90602,33.972119,-118.020188
90603,33.945318,-117.992066
90604,33.929704,-118.01208
90605,33.960891,-118.032222
90606,33.976678,-118.065875
90620,33.845706,-118.012204
90621,33.874224,-117.993368
90623,33.850504,-118.039892
90630,33.818477,-118.038307
90631,33.940619,-117.9513
90638,33.902045,-118.008961
90639,33.9058,-118.0182
90640,34.015217,-118.109962
90650,33.905963,-118.08263
90660,33.989524,-118.089299
90670,33.933565,-118.062611
90680,33.801869,-117.995068
90701,33.867593,-118.080637
90703,33.8681,-118.067402
90704,33.391181,-118.421305
90706,33.887676,-118.127289
90710,33.798266,-118.300237
90712,33.840524,-118.148403
90713,33.847755,-118.112532
90715,33.841027,-118.078097
90716,33.830431,-118.074071
90717,33.794209,-118.317354
90720,33.79499,-118.065591
90723,33.897122,-118.164432
90731,33.736387,-118.284363
90732,33.744119,-118.31448
90740,33.75462,-118.071128
90742,33.719221,-118.073596
90743,33.728273,-118.085304
90744,33.782068,-118.262263
90745,33.822295,-118.26411
90746,33.859171,-118.252272
90747,33.8671,-118.2538
90755,33.8029,-118.1677
90802,33.752524,-118.210737
90803,33.760458,-118.129725
90804,33.783047,-118.1486
90805,33.864622,-118.179626
90806,33.802664,-118.179971
90807,33.830099,-118.182239
90808,33.823943,-118.111335
90810,33.819814,-118.222416
90813,33.781086,-118.199049
90814,33.771612,-118.143866
